SKU,description,color,brand,before_price,img_urls,specs,name,url,short_description,price
https://www.amazon.com/Samsung-Unlocked-SM-A530F-International-Warranty/dp/B0794JC2K5,"<div id=""productDescription_feature_div"" class=""feature"" data-feature-name=""productDescription"">
         
     




    

    
    
    
        
            
                
	                
	                
	                	



    
    <div id=""productDescription_feature_div"" data-feature-name=""productDescription"" data-template-name=""productDescription"" class=""a-row feature"">
         
            
            
                <div class=""a-divider a-divider-section""><div class=""a-divider-inner""></div></div>
               
                 
                 <h2 class=""default"">
                    Product description
                    
                 </h2>
                
                
                

            
            
                
                
                  





    <div id=""productDescription"" class=""a-section a-spacing-small"">
        





  
    
       
        
          
        <div class=""disclaim"">
          
            
            
            
             Color:<strong>Black</strong>
            
          
          </div>
        
      
    
  


        
        
     
	       
     

     
                              
     
       	       
        
        <!-- show up to 2 reviews by default --> 
        
        	
        	
        		
        			<p>Enjoy an expansive view on the Galaxy A8 with the Infinity Display. It's a beautiful, large display that extends from side to side for an expanded screen that you'll love to see. Whether your taste is bold or classic, you can take your pick of stylish colors on The Galaxy A8. And with the smooth curves creating a comfortable, ergonomic grip, it's a beautiful phone you won't want to put down. You'll feel fully immersed in what's on screen thanks to the Infinity Display's 18.5:9 ratio. The biggest display for Galaxy A phones to date, it offers a wide horizontal view, providing a stunning cinematic experience. Taking stunning photos on the Galaxy A8 is as easy as tapping the shutter. The Dual Front Camera innovates selfies and wefies, putting the focus on you and your friends so you can capture moments in a new way. And with the rear 16MP camera, the surrounding scene will come out bright and clear, too. Add flair and fun to your selfies with Live Focus mode on the Dual Front Camera. It blurs the background, adding bokeh so you and your friends stand out. Afterwards, you can readjust the focus to your taste. And by enabling Beauty effect before taking the photo, selfies and wefies come out stunning.
				    	
					</p>
        		
        		
        	
        
                
        
        
      
      
    
    </div>

     
        <style type=""text/css"">
#productDescription {
    color: #333333;
    word-wrap: break-word;
    font-size: small;
    line-height: initial;
    margin: 0.5em 0px 0em 25px;
}

#productDescription_feature_div > h2.default {
    color: #CC6600;
    font-size: medium;
    margin: 0 0 0.25em;
}

#productDescription_feature_div > h2.books {
    color:#333 !important;
    font-size:21px !important;
    line-height: 1.3;
    padding-bottom: 4px;
    font-weight: normal;
    margin: 0px;
}

#productDescription_feature_div > h2.softlines {
    color:#333 !important; 
    font-size:21px !important;
    line-height: 1.3;
    padding-bottom: 4px;
    font-weight: bold;
    margin: 0px;
}
#productDescription > p, #productDescription > div, #productDescription > table {
    margin: 0 0 1em 0;
}

#productDescription p {
    margin: 0em 0 1em 1em;
}

#productDescription h3 {
    font-weight: normal;
    color: #333333;
    font-size: 1.23em;
    clear: left;
    margin: 0.75em 0px 0.375em -15px;
}

#productDescription table {
    border-collapse: inherit !important;
    margin-bottom: 0;
}

#productDescription table img {
    max-width: inherit !important;
}

#productDescription table td {
    font-size: small;
    vertical-align: inherit !important;
}

#productDescription ul li {
    margin: 0 0 0 20px;
}

#productDescription ul li ul {
    list-style-type: disc !important;
    margin-left: 20px !important;
}

#productDescription ul ul li {
    list-style-type: disc !important;
    margin-left: 20px !important;
}

#productDescription > ul ul li {
    list-style-type: disc !important;
}   


#productDescription ul li ul li {
    margin: 0 0 0 20px;
}

#productDescription .aplus p {
    margin: 0 0 1em 0;
}

#productDescription small {
    font-size: smaller;
}

#productDescription.prodDescWidth {
	max-width: 1000px
}

</style>

<!-- Used to set table width because AUI is overriding the width attribute of the tables coming in description -->
<script type=""text/javascript"">
P.when('jQuery').execute(function($){
    $(""#productDescription table"").each(function() {
        var width = $(this).attr('width');
        if (width) width += 'px';
        else width = 'auto';
        $(this).css('width', width);

        var padding = $(this).attr('cellpadding');
        if (padding) padding += 'px';
        else padding = '0px';
        $(this).css('padding', padding);
    });
});
</script>

    



                
                
            
        
    </div>


	                
                
            
        
        
        
        
        
        
    
    
    

    















    </div>","
    
        Black
    
",Samsung,,"null,null,null,null,null,""https://images-na.ssl-images-amazon.com/images/I/71Ily%2BsytrL._SL1500_.jpg""","<table id=""productDetails_detailBullets_sections1"" class=""a-keyvalue prodDetTable"" role=""presentation"">
            
              
                  
                    
                    
                    
                      
                      
                      
                      <tr>
                          <th class=""a-color-secondary a-size-base prodDetSectionEntry"">
                          Product Dimensions
                          </th>
                      
                          <td class=""a-size-base"">
                        6.3 x 4.3 x 0.8 inches
                        </td>
                        </tr>
                        
                    
                  
              
                  
                    
                    
                    
                      
                      
                      
                      <tr>
                          <th class=""a-color-secondary a-size-base prodDetSectionEntry"">
                          Item Weight
                          </th>
                      
                          <td class=""a-size-base"">
                        12.6 ounces
                        </td>
                        </tr>
                        
                    
                  
              
                  
                    
                    
                    
                      
                      
                      
                      <tr>
                          <th class=""a-color-secondary a-size-base prodDetSectionEntry"">
                          Shipping Weight
                          </th>
                      
                          <td class=""a-size-base"">
                        12.6 ounces (<a href=""https://www.amazon.com/gp/help/seller/shipping.html/ref=dp_pd_shipping?_encoding=UTF8&amp;seller=ATVPDKIKX0DER&amp;asin=B0794JC2K5"">View shipping rates and policies</a>)
                        </td>
                        </tr>
                        
                    
                  
              
                  
                    
                    
                      
                        




                      
                    
                    
                  
              
                  
                    
                    
                    
                      
                      
                      
                      <tr>
                          <th class=""a-color-secondary a-size-base prodDetSectionEntry"">
                          ASIN
                          </th>
                      
                          <td class=""a-size-base"">
                        B0794JC2K5
                        </td>
                        </tr>
                        
                    
                  
              
                  
                    
                    
                    
                      
                      
                      
                      <tr>
                          <th class=""a-color-secondary a-size-base prodDetSectionEntry"">
                          Batteries
                          </th>
                      
                          <td class=""a-size-base"">
                        1 Lithium ion batteries required. (included)
                        </td>
                        </tr>
                        
                    
                  
              
                  
                    
                    
                      
                        





<tr>

  
  <th class=""a-color-secondary a-size-base prodDetSectionEntry"">Customer Reviews</th>
  
  <td class=""a-size-base"">




<style type=""text/css"">
    /* 
    * Fix for UDP-1061. Average customer reviews has a small extra line on hover 
    * https://omni-grok.amazon.com/xref/src/appgroup/websiteTemplates/retail/SoftlinesDetailPageAssets/udp-intl-lock/src/legacy.css?indexName=WebsiteTemplates#40
    */
    .noUnderline a:hover { 
        text-decoration: none; 
    }
</style>



    
    
    
    
        

        
        
        

        
        
        
        
		
		
		
		
		        
		
		
		
		
		
		
		
		        
        

        <div id=""averageCustomerReviews"" class=""a-spacing-none"" data-asin=""B0794JC2K5"" data-ref=""dpx_acr_pop_"">
            
            
            
                
                
                
                    










        <span class=""a-declarative"" data-action=""acrStarsLink-click-metrics"" data-acrstarslink-click-metrics=""{}"">
            





    <span id=""acrPopover"" class=""reviewCountTextLinkedHistogram noUnderline"" title=""4.5 out of 5 stars"">
        <span class=""a-declarative"" data-action=""a-popover"" data-a-popover='{""max-width"":""700"",""closeButton"":""false"",""position"":""triggerBottom"",""url"":""/gp/customer-reviews/widgets/average-customer-review/popover/ref=dpx_acr_pop_?contextId=dpx&amp;asin=B0794JC2K5""}'>
            <a href=""javascript:void(0)"" class=""a-popover-trigger a-declarative"">
                

<i class=""a-icon a-icon-star a-star-4-5""><span class=""a-icon-alt"">4.5 out of 5 stars</span></i>
                
            <i class=""a-icon a-icon-popover""></i></a>
        </span>
        <span class=""a-letter-space""></span>
    </span>


        </span>
        <span class=""a-letter-space""></span>
        
        

        

        
            
        

        
        
        
        
        
        
        
            
            
                <span class=""a-declarative"" data-action=""acrLink-click-metrics"" data-acrlink-click-metrics=""{}"">
                    <a id=""acrCustomerReviewLink"" class=""a-link-normal"" href=""#customerReviews"">
                        <span id=""acrCustomerReviewText"" class=""a-size-base"">26 customer reviews</span>
                    </a>
                </span>
            
                <script type=""text/javascript"">
                    P.when('A', 'ready').execute(function(A) {
                        A.declarative('acrLink-click-metrics', 'click', { ""allowLinkDefault"" : true }, function(event){
                            if(window.ue) {
                                ue.count(""acrLinkClickCount"", (ue.count(""acrLinkClickCount"") || 0) + 1);
                            }
                        });
                    });
                </script>
            
            
            
            
        
        
        <script type=""text/javascript"">
            P.when('A', 'cf').execute(function(A) {
                A.declarative('acrStarsLink-click-metrics', 'click', { ""allowLinkDefault"" : true },  function(event){
                    if(window.ue) {
                        ue.count(""acrStarsLinkWithPopoverClickCount"", (ue.count(""acrStarsLinkWithPopoverClickCount"") || 0) + 1);
                    }
                });
            });
        </script>


                
            
        </div>
    

<br>
  4.5 out of 5 stars
  </td>
  </tr>


                      
                    
                    
                  
              
                  
                    
                    
                      
                        




    <tr>
    <th class=""a-color-secondary a-size-base prodDetSectionEntry"">
        Best Sellers Rank
    </th>
    <td>
         <span>
              
                <span>#39,719 in Cell Phones &amp; Accessories (<a href=""/gp/bestsellers/wireless"">See Top 100 in Cell Phones &amp; Accessories</a>)</span>
        <br>
              
                <span>#23,821 in <a href=""/gp/bestsellers/wireless/ref=pd_zg_hrsr_wireless_1_1"">Cell Phones &amp; Accessories</a> &gt; <a href=""/gp/bestsellers/wireless/2407755011/ref=pd_zg_hrsr_wireless_1_2_last"">Cell Phone Accessories</a></span>
        <br>
              
                <span>#39,609 in <a href=""/gp/bestsellers/electronics/ref=pd_zg_hrsr_electronics_2_1"">Electronics</a> &gt; <a href=""/gp/bestsellers/electronics/2811119011/ref=pd_zg_hrsr_electronics_2_2_last"">Cell Phones &amp; Accessories</a></span>
        <br>
              
        </span>
    </td>
    </tr>




                      
                    
                    
                  
              
                  
                    
                    
                      
                        



                      
                    
                    
                  
              
            
          </table>","Samsung Galaxy A8 (2018) Factory Unlocked SM-A530F 32GB 4GB Ram, 5.6"" Screen, 16MP Rear Camera + Dual Frontal Camera 16MP+8MP, IP68, 4G LTE International Version No Warranty (Black)",https://www.amazon.com/Samsung-Unlocked-SM-A530F-International-Warranty/dp/B0794JC2K5,"<ul class=""a-unordered-list a-vertical a-spacing-none"">
					
					
						<li><span class=""a-list-item""> 
							5.6"" FHD+ Super AMOLED (1080x2220) Screen 440 ppi, 32GB Internal Storage and 4GB Ram
							
						</span></li>
					
						<li><span class=""a-list-item""> 
							Dual Front Camera 16mp+8mp, 16mp Rear Camera, 1080p HD video recording at 30 fps 720p HD video recording at 30 fps VDIS (Video Digital Image Stabilization) Max digital 4X Zoom, In the box Device, USB Cable, Earphone, Ejection Pin, USP Power Adapter, Quick Start Guide and Clear Case
							
						</span></li>
					
						<li><span class=""a-list-item""> 
							Android 7.1.1 Nougat, IP 68 Water Resistant, 3000 mAh Battery, Fingerprint Scanner, Face Recognition,
							
						</span></li>
					
						<li><span class=""a-list-item""> 
							LTE BANDS; B1 (2100), B2 (1900), B3 (1800), B4 (1700/2100 AWS), B5 (850), B7 (2600), B8 (900), B12 (700 AC), B13 (700 C), B17 (700 BC), B18 (800 L), B19 (800 U), B20 (800 DD), B26 (850+), B28 (700 APT), B38 (TD 2600), B40 (TD2300), B41 (TD 2500), B66 (1700/2100) and 3G BANDS; B1 (2100), B2 (1900 PCS), B4 (1700/2100 AWS), B5 (850), B8 (900)
							
						</span></li>
					
						<li><span class=""a-list-item""> 
							International model phone, will work with Most GSM SIM cards in U.S. and world Including AT&amp;T, T-Mobile, MetroPCS, Etc. Does not have US warranty. Will NOT work with CDMA Carriers Such as Verizon, Sprint, Boost.
							
						</span></li>
					
				</ul>",$375.00
https://www.amazon.com/SM-A600GN-Octa-Core-Fingerprint-Factory-International/dp/B07D529ZZ9,"<div id=""productDescription_feature_div"" class=""feature"" data-feature-name=""productDescription"">
         
     




    

    
    
    
        
            
                
	                
	                
	                	




	                
                
            
        
        
        
        
        
        
    
    
    

    















    </div>","
    
        Black
    
",Samsung,,"""https://images-na.ssl-images-amazon.com/images/I/61WVr41xT0L._SL1300_.jpg"",""https://images-na.ssl-images-amazon.com/images/I/71-laWFcgoL._SL1500_.jpg""","<table id=""productDetails_detailBullets_sections1"" class=""a-keyvalue prodDetTable"" role=""presentation"">
            
              
                  
                    
                    
                    
                      
                      
                      
                      <tr>
                          <th class=""a-color-secondary a-size-base prodDetSectionEntry"">
                          Package Dimensions
                          </th>
                      
                          <td class=""a-size-base"">
                        6.1 x 3.2 x 1.8 inches
                        </td>
                        </tr>
                        
                    
                  
              
                  
                    
                    
                    
                      
                      
                      
                      <tr>
                          <th class=""a-color-secondary a-size-base prodDetSectionEntry"">
                          Item Weight
                          </th>
                      
                          <td class=""a-size-base"">
                        11.8 ounces
                        </td>
                        </tr>
                        
                    
                  
              
                  
                    
                    
                    
                      
                      
                      
                      <tr>
                          <th class=""a-color-secondary a-size-base prodDetSectionEntry"">
                          Shipping Weight
                          </th>
                      
                          <td class=""a-size-base"">
                        11.8 ounces (<a href=""https://www.amazon.com/gp/help/seller/shipping.html/ref=dp_pd_shipping?_encoding=UTF8&amp;seller=ATVPDKIKX0DER&amp;asin=B07D529ZZ9"">View shipping rates and policies</a>)
                        </td>
                        </tr>
                        
                    
                  
              
                  
                    
                    
                      
                        




                      
                    
                    
                  
              
                  
                    
                    
                    
                      
                      
                      
                      <tr>
                          <th class=""a-color-secondary a-size-base prodDetSectionEntry"">
                          ASIN
                          </th>
                      
                          <td class=""a-size-base"">
                        B07D529ZZ9
                        </td>
                        </tr>
                        
                    
                  
              
                  
                    
                    
                    
                      
                      
                      
                      <tr>
                          <th class=""a-color-secondary a-size-base prodDetSectionEntry"">
                          Batteries
                          </th>
                      
                          <td class=""a-size-base"">
                        1 Lithium ion batteries required. (included)
                        </td>
                        </tr>
                        
                    
                  
              
                  
                    
                    
                      
                        





<tr>

  
  <th class=""a-color-secondary a-size-base prodDetSectionEntry"">Customer Reviews</th>
  
  <td class=""a-size-base"">




<style type=""text/css"">
    /* 
    * Fix for UDP-1061. Average customer reviews has a small extra line on hover 
    * https://omni-grok.amazon.com/xref/src/appgroup/websiteTemplates/retail/SoftlinesDetailPageAssets/udp-intl-lock/src/legacy.css?indexName=WebsiteTemplates#40
    */
    .noUnderline a:hover { 
        text-decoration: none; 
    }
</style>



    
    
    
    
        

        
        
        

        
        
        
        
		
		
		
		
		        
		
		
		
		
		
		
		
		        
        

        <div id=""averageCustomerReviews"" class=""a-spacing-none"" data-asin=""B07D529ZZ9"" data-ref=""dpx_acr_pop_"">
            
            
            
                
                
                
                    










        <span class=""a-declarative"" data-action=""acrStarsLink-click-metrics"" data-acrstarslink-click-metrics=""{}"">
            





    <span id=""acrPopover"" class=""reviewCountTextLinkedHistogram noUnderline"" title=""3.0 out of 5 stars"">
        <span class=""a-declarative"" data-action=""a-popover"" data-a-popover='{""max-width"":""700"",""closeButton"":""false"",""position"":""triggerBottom"",""url"":""/gp/customer-reviews/widgets/average-customer-review/popover/ref=dpx_acr_pop_?contextId=dpx&amp;asin=B07D529ZZ9""}'>
            <a href=""javascript:void(0)"" class=""a-popover-trigger a-declarative"">
                

<i class=""a-icon a-icon-star a-star-3""><span class=""a-icon-alt"">3.0 out of 5 stars</span></i>
                
            <i class=""a-icon a-icon-popover""></i></a>
        </span>
        <span class=""a-letter-space""></span>
    </span>


        </span>
        <span class=""a-letter-space""></span>
        
        

        

        
            
        

        
        
        
        
        
        
        
            
            
                <span class=""a-declarative"" data-action=""acrLink-click-metrics"" data-acrlink-click-metrics=""{}"">
                    <a id=""acrCustomerReviewLink"" class=""a-link-normal"" href=""#customerReviews"">
                        <span id=""acrCustomerReviewText"" class=""a-size-base"">2 customer reviews</span>
                    </a>
                </span>
            
                <script type=""text/javascript"">
                    P.when('A', 'ready').execute(function(A) {
                        A.declarative('acrLink-click-metrics', 'click', { ""allowLinkDefault"" : true }, function(event){
                            if(window.ue) {
                                ue.count(""acrLinkClickCount"", (ue.count(""acrLinkClickCount"") || 0) + 1);
                            }
                        });
                    });
                </script>
            
            
            
            
        
        
        <script type=""text/javascript"">
            P.when('A', 'cf').execute(function(A) {
                A.declarative('acrStarsLink-click-metrics', 'click', { ""allowLinkDefault"" : true },  function(event){
                    if(window.ue) {
                        ue.count(""acrStarsLinkWithPopoverClickCount"", (ue.count(""acrStarsLinkWithPopoverClickCount"") || 0) + 1);
                    }
                });
            });
        </script>


                
            
        </div>
    

<br>
  3.0 out of 5 stars
  </td>
  </tr>


                      
                    
                    
                  
              
                  
                    
                    
                      
                        




    <tr>
    <th class=""a-color-secondary a-size-base prodDetSectionEntry"">
        Best Sellers Rank
    </th>
    <td>
         <span>
              
                <span>#97,365 in Cell Phones &amp; Accessories (<a href=""/gp/bestsellers/wireless"">See Top 100 in Cell Phones &amp; Accessories</a>)</span>
        <br>
              
                <span>#1,837 in <a href=""/gp/bestsellers/wireless/ref=pd_zg_hrsr_wireless_1_1"">Cell Phones &amp; Accessories</a> &gt; <a href=""/gp/bestsellers/wireless/2407749011/ref=pd_zg_hrsr_wireless_1_2_last"">Unlocked Cell Phones</a></span>
        <br>
              
        </span>
    </td>
    </tr>




                      
                    
                    
                  
              
                  
                    
                    
                      
                        



                      
                    
                    
                  
              
            
          </table>","SAMSUNG GALAXY A6 (2018) SM-A600GN/DS DUAL SIM 5.6"" HD+ 32 GB 3 GB RAM Octa-Core 1.6Ghz, 4G LTE 16MP Front Camera + Led Flash -Fingerprint -Factory Unlocked -International Version -No Warranty (Black)",https://www.amazon.com/SM-A600GN-Octa-Core-Fingerprint-Factory-International/dp/B07D529ZZ9,,$269.97
